Title,Developer(s),Publisher(s),Release date
PAL,JP,NA
Dead to Rights,Namco Hometek,Namco,"Feb 21, 2003","Nov 28, 2002","Aug 20, 2002"
Dead to Rights II,Widescreen Games,Namco,"Oct 28, 2005",Unreleased,"Apr 12, 2005"
Deathrow,Southend Interactive,Ubi Soft,"Oct 18, 2002",Unreleased,"Oct 22, 2002"
Defender,Inevitable Entertainment,Midway,"Mar 24, 2003",Unreleased,"Oct 21, 2002"
Def Jam: Fight for NY,AKI Corporation EA Canada,EA Games,"Sep 24, 2004 AUS Oct 1, 2004 EU",Unreleased,"Sep 21, 2004"
Delta Force: Black Hawk Down,Climax London,NovaLogic,"Sep 2, 2005",Unreleased,"Jul 26, 2005"
Dennou Taisen: DroneZ,Zetha GameZ,Metro3D,Unreleased,"Apr 22, 2004",Unreleased
Destroy All Humans!,Pandemic Studios,THQ,"Jun 24, 2005",Unreleased,"Jun 21, 2005"
Destroy All Humans! 2,Pandemic Studios,THQ,"Oct 20, 2006 EU Oct 26, 2006 AUS",Unreleased,"Oct 17, 2006"
Deus Ex: Invisible War,Ion Storm,Eidos Interactive,"Mar 5, 2004","Jun 17, 2004","Dec 2, 2003"
Die Hard: Vendetta,Bits Studios,Vivendi Universal Games International,"Jun 27, 2003",Unreleased,Unreleased
Digimon Rumble Arena 2 Digimon Battle Chronicle (JP),Bandai Black Ship Games,Bandai,"Oct 15, 2004 EU Oct 22, 2004 AUS","Jul 29, 2004","Sep 3, 2004"
Digimon World 4 Digimon World X (JP),BEC,Bandai,Unreleased,"Jan 6, 2005","Jun 2, 2005"
Dino Crisis 3,Capcom Production Studio 4,Capcom,"Nov 7, 2003","Jun 26, 2003","Sep 16, 2003"
Dinosaur Hunting,Scarab,Metro3D,Unreleased,"Sep 18, 2003",Unreleased
Dinotopia: The Sunstone Odyssey,Vicious Cycle Software,TDK Mediactive NA Global Star Software PAL,"Apr 16, 2004",Unreleased,"Jul 31, 2003"
Disney's Extreme Skate Adventure,Toys for Bob,Activision,"Sep 5, 2003",Unreleased,"Sep 3, 2003"
Doom 3,Vicarious Visions,Activision,"Apr 4, 2005",Unreleased,"Apr 4, 2005"
Doom 3: Resurrection of Evil,Nerve Software,Activision,"Oct 21, 2005",Unreleased,"Oct 5, 2005"
Double-S.T.E.A.L. - The Second Clash,Bunkasha Publishing,Microsoft,Unreleased,"Aug 4, 2005",Unreleased
Dr. Muto,Midway Games West,Midway,"Mar 21, 2003",Unreleased,"Nov 11, 2002"
Dragon Ball Z: Sagas,Avalanche Software,Atari,Unreleased,Unreleased,"Mar 22, 2005"
Dragon's Lair 3D: Return to the Lair,Dragonstone Software,Ubi Soft,"Mar 5, 2004",Unreleased,"Nov 18, 2002"
Drake of the 99 Dragons,Idol FX,Majesco Sales,Unreleased,Unreleased,"Nov 4, 2003"
Dreamfall: The Longest Journey,Funcom,Aspyr NA Micro Application PAL,"Aug 11, 2006",Unreleased,"Apr 18, 2006"
Drihoo,Highwaystar,Highwaystar,Unreleased,"Nov 28, 2002",Unreleased
Driver 3,Reflections Interactive,Atari,"Jun 22, 2004 EU Jun 24, 2004 AUS",Unreleased,"Jun 21, 2004"
Driver: Parallel Lines,Reflections Interactive,Atari,"Mar 17, 2006 EU Mar 23, 2006 AUS",Unreleased,"Mar 14, 2006"
