Title,Developer(s),Publisher(s),Release date
Combat: Task Force 121,Direct Action,Groove Games,"02005-11-30 November 30, 2005"
Commandos: Strike Force,Pyro Studios,Eidos Interactive,"02005-10-31 October 31, 2005"
Commandos 2: Men of Courage,Pyro Studios,Eidos Interactive,"02002-09-13 September 13, 2002"
Conan,Cauldron HQ,TDK Mediactive,"02004-04-08 April 08, 2004"
Conflict: Desert Storm,Pivotal Games,SCi,"02002-09-13 September 13, 2002"
Conflict: Desert Storm II: Back to Baghdad,Pivotal Games,SCi,"02003-09-19 September 19, 2003"
Conflict: Global Terror Conflict: Global Storm (PAL),Pivotal Games,SCi / 2K Games,"02005-09-30 September 30, 2005"
Conflict: Vietnam,Pivotal Games,Eidos Interactive,"02004-09-03 September 03, 2004"
Conker: Live & Reloaded,Rare,Microsoft Game Studios,"02005-06-24 June 24, 2005"
Conspiracy: Weapons of Mass Destruction,Kuju Entertainment,Oxygen Interactive,"02005-08-12 August 12, 2005"
Constantine,Bits Studios,THQ,"02005-03-04 March 04, 2005"
Corvette,Steel Monkeys,TDK Mediactive,Unreleased
Counter-Strike,Valve,Microsoft Game Studios,"02003-12-05 December 05, 2003"
Crash Bandicoot: The Wrath of Cortex,Traveller's Tales,Vivendi Universal Interactive Publishing,"02002-04-26 April 26, 2002"
Crash 'n' Burn,Climax,Eidos Interactive,"02004-12-03 December 03, 2004"
Crash Nitro Kart,Vicarious Visions,Vivendi Universal Games,"02003-11-28 November 28, 2003"
Crash Tag Team Racing,Radical Entertainment,Vivendi Universal Games,"02005-11-04 November 04, 2005"
Crash Twinsanity,Traveller's Tales,Vivendi Universal Games,"02004-10-08 October 08, 2004"
Crazy Taxi 3: High Roller,Hitmaker,Sega,"02002-09-20 September 20, 2002"
Cricket 2005,Template:Hlist,EA Sports,"02005-12-31 December 31, 2005"
Crime Life: Gang Wars,Hothouse Creations,Konami,"02005-09-30 September 30, 2005"
Crimson Sea,Koei,Koei,"02003-03-24 March 24, 2003"
Crimson Skies: High Road to Revenge,FASA Interactive,Microsoft Game Studios,"02003-10-31 October 31, 2003"
"Crouching Tiger, Hidden Dragon",Bergsala Lightweight,Ubisoft,"02003-11-28 November 28, 2003"
Crusty Demons,Fluent Entertainment,Deep Silver,Unreleased
CSI: Crime Scene Investigation,369 Interactive,Ubisoft,"02005-02-04 February 04, 2005"
Curious George,Monkey Bar Games,Namco,"02006-10-20 October 20, 2006"
Curse: The Eye of Isis,Asylum Entertainment,DreamCatcher Interactive,"02004-02-06 February 06, 2004"
Template:Sort,The Collective,2K Games,"02006-05-19 May 19, 2006"
Daemon Vector Template:Efn,XPEC Entertainment,XPEC Entertainment,Unreleased
Dai Senryaku VII: Modern Military Tactics,SystemSoft,Kemco,Unreleased
Dakar 2: The World's Ultimate Rally,Acclaim Studios Cheltenham,Acclaim Entertainment,"02003-06-06 June 06, 2003"
Dance Dance Revolution Ultramix Dancing Stage Unleashed (PAL),Konami,Konami,"02004-03-12 March 12, 2004"
Dance Dance Revolution Ultramix 2 Dancing Stage Unleashed 2 (PAL),Konami,Konami,"02005-05-13 May 13, 2005"
Dance Dance Revolution Ultramix 3 Dancing Stage Unleashed 3 (PAL),Konami,Konami,"02006-03-16 March 16, 2006"
Dance Dance Revolution Ultramix 4,Konami,Konami,Unreleased
Dance: UK,Broadsword Interactive,Bigben Interactive,"02004-07-02 July 02, 2004"
Dark Angel,,,
Dark Summit,Radical Entertainment,THQ,"02002-03-22 March 22, 2002"
Darkwatch,High Moon Studios,Capcom,"02005-10-06 October 06, 2005"
Dave Mirra Freestyle BMX 2,Z-Axis,Acclaim Max Sports,"02002-03-14 March 14, 2002"
